TM-ads,electronegativity,Magnetic_moment,radius_of_d-orbitals(A),coupling_matrix_element_squared,n_d,d-band(pure),Bandgap,VBM,CBM,Vacuum_level,E_affinity,Ion_potential,iCOHP_(*N2),iCOHP_(N*),Ef,endon-H
2,1.55,3,1.39,1.94,5,-2.055,0.814,-1.2536,-0.4398,4.142,-4.582,7.434,-1.026,-4.492,-1.034,-0.862
2,2.16,-2,1.54,6.62,5,-3.1423,0.214,-0.5544,-0.34,4.169,-4.509,7.092,-1.901,-5.108,-0.4529,-0.262
2,1.9,1,1.51,6.04,5,-2.2423,0.576,-0.9165,-0.3406,4.171,-4.512,7.834,-2.131,-5.157,-0.6887,-0.0748
2,1.83,2,1.32,1.59,6,-2.1915,0.189,-0.692,-0.5027,4.144,-4.647,7.902,-1.184,-4.056,-0.5917,-0.777
2,2.2,2,1.44,5.13,6,-2.2574,0.547,-1.0125,-0.465,4.16,-4.625,8.438,-1.744,-4.947,-0.7893,-0.1091
2,1.88,-1,1.26,1.34,7,-1.6883,0.115,-0.9177,-0.8029,4.144,-4.947,7.881,-1.308,-1.743,-0.8594,-1.248
2,2.2,0,1.46,3.87,7,-2.1535,0.482,-0.985,-0.5029,4.23,-4.733,7.361,-1.412,-4.870,-0.7637,-0.679
2,2.2,-1,1.41,4.45,7,-2.0408,0.194,0.194,-1.1122,4.163,-5.081,8.967,-1.700,-4.505,-0.9182,0.236
2,1.91,0,1.24,1.16,8,-1.1356,0.828,-1.3553,-0.5269,4.127,-4.654,7.640,-1.137,-1.334,-1.1312,-1.371
2,2.28,-1,1.42,3.32,8,-1.6818,0.195,-1.1978,-1.0029,4.181,-5.184,7.459,-1.262,-4.285,-1.0969,-0.765
2,2.28,0,1.36,3.9,9,-2.0334,1.014,-1.4095,-0.395,4.187,-4.582,8.959,-1.193,-3.483,-1.1855,-1.0042
2,1.9,0.849,1.32,1,10,-2.7777,0.256,-0.8136,-0.5573,4.159,-4.716,7.726,-0.965,-1.353,-0.6833,-0.959
2,2.2,0,1.39,2.78,10,-2.0414,0.971,-1.3915,-0.42,4.186,-4.606,8.337,-0.856,-2.851,-1.1719,-1.367
2,1.93,0.8904,1.45,2.26,10,-4.4831,0.258,0.2584,-0.7391,4.171,-4.651,7.576,-0.709,-1.172,-0.4807,-0.859
